Email,Age,Education,Marital-status,Gender,Income,count
nan-nan,23-24,nan-nan,Divorced,Female,<=50k,12
nan-nan,23-24,nan-nan,Divorced,Female,>50k,1
nan-nan,23-24,nan-nan,Divorced,Male,<=50k,12
nan-nan,23-24,nan-nan,Married-AF-spouse,Female,<=50k,1
nan-nan,23-24,nan-nan,Married-civ-spouse,Female,<=50k,23
nan-nan,23-24,nan-nan,Married-civ-spouse,Female,>50k,2
nan-nan,23-24,nan-nan,Married-civ-spouse,Male,<=50k,103
nan-nan,23-24,nan-nan,Married-civ-spouse,Male,>50k,12
nan-nan,23-24,nan-nan,Married-spouse-absent,Female,<=50k,4
nan-nan,23-24,nan-nan,Married-spouse-absent,Male,<=50k,3
nan-nan,23-24,nan-nan,Never-married,Female,<=50k,271
nan-nan,23-24,nan-nan,Never-married,Female,>50k,4
nan-nan,23-24,nan-nan,Never-married,Male,<=50k,329
nan-nan,23-24,nan-nan,Never-married,Male,>50k,3
nan-nan,23-24,nan-nan,Separated,Female,<=50k,7
nan-nan,23-24,nan-nan,Separated,Male,<=50k,7
nan-nan,23-24,nan-nan,Widowed,Male,<=50k,1
nan-nan,28-29,nan-nan,Divorced,Female,<=50k,49
nan-nan,28-29,nan-nan,Divorced,Male,<=50k,27
nan-nan,28-29,nan-nan,Divorced,Male,>50k,1
nan-nan,28-29,nan-nan,Married-AF-spouse,Female,<=50k,1
nan-nan,28-29,nan-nan,Married-civ-spouse,Female,<=50k,28
nan-nan,28-29,nan-nan,Married-civ-spouse,Female,>50k,15
nan-nan,28-29,nan-nan,Married-civ-spouse,Male,<=50k,146
nan-nan,28-29,nan-nan,Married-civ-spouse,Male,>50k,86
nan-nan,28-29,nan-nan,Married-spouse-absent,Female,<=50k,3
nan-nan,28-29,nan-nan,Married-spouse-absent,Male,<=50k,4
nan-nan,28-29,nan-nan,Never-married,Female,<=50k,141
nan-nan,28-29,nan-nan,Never-married,Female,>50k,5
nan-nan,28-29,nan-nan,Never-married,Male,<=50k,217
nan-nan,28-29,nan-nan,Never-married,Male,>50k,14
nan-nan,28-29,nan-nan,Separated,Female,<=50k,20
nan-nan,28-29,nan-nan,Separated,Male,<=50k,13
nan-nan,28-29,nan-nan,Widowed,Female,<=50k,1
nan-nan,28-29,nan-nan,Widowed,Male,<=50k,2
nan-nan,37,nan-nan,Divorced,Female,<=50k,42
nan-nan,37,nan-nan,Divorced,Female,>50k,2
nan-nan,37,nan-nan,Divorced,Male,<=50k,23
nan-nan,37,nan-nan,Divorced,Male,>50k,3
nan-nan,37,nan-nan,Married-civ-spouse,Female,<=50k,8
nan-nan,37,nan-nan,Married-civ-spouse,Female,>50k,17
nan-nan,37,nan-nan,Married-civ-spouse,Male,<=50k,103
nan-nan,37,nan-nan,Married-civ-spouse,Male,>50k,89
nan-nan,37,nan-nan,Married-spouse-absent,Female,<=50k,5
nan-nan,37,nan-nan,Married-spouse-absent,Male,<=50k,2
nan-nan,37,nan-nan,Married-spouse-absent,Male,>50k,1
nan-nan,37,nan-nan,Never-married,Female,<=50k,28
nan-nan,37,nan-nan,Never-married,Female,>50k,6
nan-nan,37,nan-nan,Never-married,Male,<=50k,48
nan-nan,37,nan-nan,Never-married,Male,>50k,5
nan-nan,37,nan-nan,Separated,Female,<=50k,8
nan-nan,37,nan-nan,Separated,Male,<=50k,7
nan-nan,37,nan-nan,Separated,Male,>50k,1
nan-nan,37,nan-nan,Widowed,Female,<=50k,3
nan-nan,41-42,nan-nan,Divorced,Female,<=50k,82
nan-nan,41-42,nan-nan,Divorced,Female,>50k,9
nan-nan,41-42,nan-nan,Divorced,Male,<=50k,59
nan-nan,41-42,nan-nan,Divorced,Male,>50k,9
nan-nan,41-42,nan-nan,Married-civ-spouse,Female,<=50k,16
nan-nan,41-42,nan-nan,Married-civ-spouse,Female,>50k,28
nan-nan,41-42,nan-nan,Married-civ-spouse,Male,<=50k,191
nan-nan,41-42,nan-nan,Married-civ-spouse,Male,>50k,226
nan-nan,41-42,nan-nan,Married-spouse-absent,Female,<=50k,2
nan-nan,41-42,nan-nan,Married-spouse-absent,Female,>50k,1
nan-nan,41-42,nan-nan,Married-spouse-absent,Male,<=50k,3
