Email,Age,Education,Marital-status,Gender,Income
,25,,Never-married,Male,<=50k
,38,,Married-civ-spouse,Male,<=50k
,28,,Married-civ-spouse,Male,>50k
,44,,Married-civ-spouse,Male,>50k
,34,,Never-married,Male,<=50k
,63,,Married-civ-spouse,Male,>50k
,24,,Never-married,Female,<=50k
,55,,Married-civ-spouse,Male,<=50k
,65,,Married-civ-spouse,Male,>50k
,36,,Married-civ-spouse,Male,<=50k
,26,,Never-married,Female,<=50k
,48,,Married-civ-spouse,Male,>50k
,43,,Married-civ-spouse,Male,>50k
,20,,Never-married,Male,<=50k
,43,,Married-civ-spouse,Female,<=50k
,37,,Widowed,Female,<=50k
,34,,Married-civ-spouse,Male,>50k
,34,,Never-married,Female,<=50k
,25,,Never-married,Male,<=50k
,25,,Married-civ-spouse,Male,<=50k
,45,,Married-civ-spouse,Male,>50k
,22,,Never-married,Male,<=50k
,23,,Separated,Male,<=50k
,54,,Married-civ-spouse,Male,<=50k
,32,,Never-married,Male,<=50k
,46,,Married-civ-spouse,Male,>50k
,56,,Widowed,Female,<=50k
,24,,Never-married,Male,<=50k
,23,,Married-civ-spouse,Male,<=50k
,26,,Divorced,Female,<=50k
,36,,Married-civ-spouse,Male,>50k
,22,,Never-married,Male,<=50k
,17,,Never-married,Male,<=50k
,20,,Never-married,Male,<=50k
,65,,Married-civ-spouse,Male,>50k
,44,,Married-civ-spouse,Male,>50k
,36,,Married-civ-spouse,Male,<=50k
,29,,Married-civ-spouse,Male,<=50k
,20,,Never-married,Male,<=50k
,28,,Married-civ-spouse,Female,>50k
,39,,Married-civ-spouse,Male,<=50k
,54,,Married-civ-spouse,Male,<=50k
,52,,Separated,Female,<=50k
,56,,Widowed,Female,<=50k
,18,,Never-married,Male,<=50k
,39,,Divorced,Male,<=50k
,21,,Never-married,Female,<=50k
,22,,Never-married,Male,>50k
,38,,Married-spouse-absent,Male,<=50k
,21,,Never-married,Female,<=50k
,63,,Married-civ-spouse,Male,<=50k
,34,,Married-civ-spouse,Male,>50k
,42,,Married-civ-spouse,Male,>50k
,33,,Married-civ-spouse,Male,<=50k
,30,,Never-married,Female,<=50k
,39,,Divorced,Male,<=50k
,26,,Never-married,Female,<=50k
,33,,Never-married,Female,<=50k
,47,,Divorced,Female,<=50k
